KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ENSMUSG00000001583.13	0	0	1	0	0	0	0	0	0	0	5	0
ENSMUSG00000001588.12	0	4	0	0	3	1	0	0	0	6	3	0
ENSMUSG00000001604.14	0	1	5	0	0	0	0	7	0	0	0	0
ENSMUSG00000001622.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001627.12	2386	1805	1810	1691	3046	2203	1917	2388	1237	1817	2091	2096
ENSMUSG00000001630.13	129	80	131	118	234	193	121	225	82	150	137	124
ENSMUSG00000001632.16	493	540	612	433	677	629	318	652	395	458	625	535
ENSMUSG00000001642.18	49	92	125	63	60	39	32	98	70	71	87	77
ENSMUSG00000001655.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001656.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001657.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001661.5	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001663.10	63	60	84	83	53	48	38	54	47	84	73	79
ENSMUSG00000001665.11	6	8	3	2	2	1	0	3	1	3	0	2
ENSMUSG00000001666.8	126	182	155	120	141	93	67	223	103	122	274	140
ENSMUSG00000001670.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001672.14	20	1	0	4	33	3	0	0	7	9	12	10
ENSMUSG00000001674.11	123	179	253	126	128	98	68	237	168	176	244	105
ENSMUSG00000001687.15	2804	3168	3134	2815	4604	3336	2050	3785	2269	3503	3642	3386
ENSMUSG00000001700.9	41	55	22	29	38	36	33	49	34	42	45	48
ENSMUSG00000001707.8	2327	2957	2516	2469	4109	2598	2057	3393	1884	3174	3681	2781
ENSMUSG00000001729.14	2529	3597	2518	2828	3385	2805	1613	5869	3000	3682	4842	2993
ENSMUSG00000001739.14	4	1	0	0	3	2	0	3	2	9	4	5
ENSMUSG00000001741.12	56	73	81	91	98	74	49	117	68	116	106	114
ENSMUSG00000001750.15	10	28	10	16	16	21	5	11	12	14	10	16
ENSMUSG00000001751.9	117	113	147	89	152	59	61	108	92	131	171	150
ENSMUSG00000001755.12	373	537	492	418	510	380	281	709	409	607	708	451
ENSMUSG00000001761.7	908	1411	722	1084	1227	910	607	1958	1162	1253	1684	1193
ENSMUSG00000001763.14	42	81	72	62	90	41	41	69	75	58	81	70
ENSMUSG00000001767.5	975	792	842	715	1026	974	927	1217	561	921	992	858
ENSMUSG00000001768.15	55	50	45	63	51	46	61	58	20	39	50	52
