KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ENSMUSG00000001948.10	88	136	105	81	106	61	97	135	50	92	96	45
ENSMUSG00000001962.8	539	391	444	438	520	471	395	565	356	493	578	407
ENSMUSG00000001964.14	1347	1609	1735	1536	1936	1390	1079	2519	1413	1825	2132	1592
ENSMUSG00000001983.7	98	77	74	76	115	106	71	153	87	94	148	93
ENSMUSG00000001985.9	23	13	42	15	44	38	14	18	21	19	13	30
ENSMUSG00000001986.16	135	58	116	98	170	170	129	166	42	94	138	120
ENSMUSG00000001988.9	6	15	0	23	24	10	7	35	17	23	33	16
ENSMUSG00000001995.9	426	560	523	407	530	417	319	617	373	430	570	324
ENSMUSG00000001998.15	35	29	21	48	25	34	24	104	45	51	68	37
ENSMUSG00000001999.15	108	98	102	62	109	105	54	138	62	121	110	91
ENSMUSG00000002006.12	620	786	629	793	1120	762	443	1302	646	955	1285	847
ENSMUSG00000002007.5	0	0	0	1	3	0	0	9	0	0	0	0
ENSMUSG00000002010.17	1059	1414	1254	1071	1281	886	688	1845	1099	1198	1606	1039
ENSMUSG00000002012.13	25	41	20	14	59	34	29	57	49	25	51	55
ENSMUSG00000002014.12	5924	4528	3539	5409	9407	5217	5612	6467	3271	4836	6727	4841
ENSMUSG00000002015.5	320	660	556	331	370	297	201	652	395	610	618	398
ENSMUSG00000002017.9	476	615	644	451	457	390	394	826	510	649	816	525
ENSMUSG00000002020.15	1	0	4	9	4	2	1	14	1	5	14	5
ENSMUSG00000002028.13	292	378	445	291	409	320	249	390	188	315	331	293
ENSMUSG00000002031.12	333	595	596	404	496	399	228	555	370	487	628	385
ENSMUSG00000002032.17	51	76	63	52	34	48	18	99	22	58	64	39
ENSMUSG00000002033.14	3	0	0	0	2	4	0	8	0	0	0	0
ENSMUSG00000002043.17	377	435	438	363	493	287	293	544	284	417	534	406
ENSMUSG00000002052.6	374	463	634	379	459	302	237	456	350	424	495	410
ENSMUSG00000002055.9	616	487	555	348	649	512	425	611	377	493	554	475
ENSMUSG00000002057.4	1	0	0	0	0	0	0	0	0	0	3	0
ENSMUSG00000002058.13	349	463	475	388	547	336	272	628	346	460	646	410
ENSMUSG00000002059.18	230	287	222	265	298	250	148	355	190	246	347	287
ENSMUSG00000002064.10	955	1155	870	927	1266	772	902	1309	711	1134	1283	901
ENSMUSG00000002068.16	312	500	497	340	400	332	269	546	413	372	504	325
ENSMUSG00000002076.11	0	0	0	0	0	0	0	4	0	1	2	0
ENSMUSG00000002083.13	234	212	133	244	379	251	161	387	171	290	336	316
ENSMUSG00000002100.15	25	24	18	33	85	33	6	36	2	38	30	26
ENSMUSG00000002102.15	1922	3107	2756	2252	2426	1527	1673	3930	2107	2739	4068	2085
ENSMUSG00000002103.15	240	226	226	163	230	171	150	239	138	214	211	200
ENSMUSG00000002104.11	0	3	0	2	9	0	3	3	4	1	1	0
ENSMUSG00000002105.15	59	53	39	53	77	26	34	92	74	66	66	30
ENSMUSG00000002107.18	15538	12010	12295	11919	23954	17645	12432	12441	5055	11293	11798	12010
ENSMUSG00000002108.10	10	29	16	29	25	9	16	25	12	32	9	23
ENSMUSG00000002109.14	24	9	16	12	37	11	18	39	16	18	18	34
ENSMUSG00000002111.8	16	17	15	11	19	11	8	24	6	23	14	1
ENSMUSG00000002129.11	1714	1648	1985	1498	2328	1876	1449	2201	1322	1649	2125	2062
ENSMUSG00000002147.18	8	36	10	22	18	22	17	38	19	26	17	10
ENSMUSG00000002190.13	109	117	110	76	117	87	76	138	141	82	90	68
ENSMUSG00000002204.9	3	3	7	4	2	3	1	0	0	2	2	3
ENSMUSG00000002205.16	278	496	509	302	334	243	158	689	384	479	624	388
ENSMUSG00000002210.11	156	132	147	144	155	169	77	257	112	155	186	144
ENSMUSG00000002221.11	464	518	515	357	560	328	341	588	287	377	465	423
ENSMUSG00000002222.14	870	1231	845	1125	1515	1194	697	1695	825	1181	1548	1228
ENSMUSG00000002227.15	2	10	6	7	11	5	1	7	13	14	12	5
ENSMUSG00000002228.7	4	17	0	6	2	11	6	2	3	5	8	7
ENSMUSG00000002233.13	379	403	312	261	367	303	268	458	237	307	412	317
ENSMUSG00000002240.12	0	0	0	0	0	0	0	3	0	0	0	0
ENSMUSG00000002249.20	9	1	0	12	7	1	5	8	8	12	0	6
ENSMUSG00000002250.15	31	100	32	28	18	60	10	121	70	68	68	39
ENSMUSG00000002257.7	12	34	8	17	10	13	7	27	8	9	11	16
ENSMUSG00000002265.16	2941	1547	1542	2036	3740	2772	2879	2334	1253	2029	2172	2271
ENSMUSG00000002266.17	5	2	6	6	1	8	13	12	4	4	19	2
ENSMUSG00000002274.12	437	408	175	351	590	297	347	426	270	385	376	337
ENSMUSG00000002279.18	54	127	138	114	64	63	36	112	98	123	175	84
ENSMUSG00000002280.10	269	231	171	190	228	146	175	365	163	207	282	200
ENSMUSG00000002289.15	140	117	60	76	91	88	68	140	57	94	103	99
ENSMUSG00000002297.15	1426	1670	1798	1212	1977	1489	1104	1948	1114	1347	1561	1300
ENSMUSG00000002307.15	199	355	293	254	276	221	144	585	346	359	426	248
ENSMUSG00000002308.15	511	650	510	440	705	436	374	761	575	655	857	460
ENSMUSG00000002319.16	302	377	333	282	481	317	189	439	249	362	411	356
ENSMUSG00000002320.15	162	277	175	193	234	141	117	438	205	260	292	166
ENSMUSG00000002324.8	45	8	84	44	51	41	20	88	59	52	106	50
ENSMUSG00000002325.15	39	35	34	21	26	17	22	38	18	17	32	24
ENSMUSG00000002326.6	20	61	40	34	40	11	17	66	60	54	67	24
ENSMUSG00000002329.7	753	750	707	704	1115	640	560	1071	527	763	970	619
ENSMUSG00000002332.16	180	324	183	226	302	228	113	470	204	305	442	251
ENSMUSG00000002341.8	327	263	299	276	379	331	230	437	223	371	379	381
ENSMUSG00000002342.17	256	201	197	217	311	222	157	325	160	229	325	228
ENSMUSG00000002343.11	360	413	357	379	500	338	250	593	363	521	620	382
ENSMUSG00000002345.18	288	360	396	305	520	264	263	325	184	419	456	282
ENSMUSG00000002346.16	9	7	0	9	6	6	2	3	6	5	4	4
ENSMUSG00000002365.9	70	56	29	32	47	51	43	80	44	44	74	55
ENSMUSG00000002372.8	1289	1723	1951	1221	1701	1240	870	1960	1439	1577	1976	1375
ENSMUSG00000002379.6	724	1205	1169	797	816	656	437	1270	754	1024	1232	733
ENSMUSG00000002384.2	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002393.14	1048	762	624	1048	1312	725	619	1426	756	1072	1224	907
ENSMUSG00000002395.14	2057	2442	2036	2644	3600	2069	1748	3295	1791	2612	3557	2250
ENSMUSG00000002396.8	85	113	67	60	110	53	24	60	31	76	36	24
ENSMUSG00000002409.18	36	139	112	89	72	65	36	183	66	139	153	133
ENSMUSG00000002413.15	289	242	222	193	338	252	226	285	174	220	227	196
ENSMUSG00000002416.13	1286	999	947	1276	2014	1167	1293	1638	750	1244	1397	989
ENSMUSG00000002428.12	284	243	234	185	328	237	280	406	196	270	260	216
ENSMUSG00000002455.14	275	395	618	306	298	257	137	673	346	414	535	287
ENSMUSG00000002458.13	181	243	201	153	193	159	158	233	141	199	292	214
ENSMUSG00000002459.17	79	106	56	52	67	73	55	67	53	72	64	62
ENSMUSG00000002475.15	27	28	32	40	46	39	36	37	11	20	31	28
ENSMUSG00000002477.4	3680	5267	4649	3865	5366	3373	2822	5960	2862	4619	5705	3692
ENSMUSG00000002486.15	69	115	114	92	136	103	53	164	93	106	187	109
ENSMUSG00000002489.15	100	110	82	74	109	90	32	130	39	77	76	52
ENSMUSG00000002496.10	165	309	319	207	198	205	105	383	216	280	434	253
ENSMUSG00000002500.15	0	3	0	0	0	0	0	0	0	0	0	3
ENSMUSG00000002504.14	139	173	171	127	112	106	67	216	160	199	247	131
ENSMUSG00000002524.16	928	1799	1886	1008	1112	881	481	2073	1249	1513	1875	1212
ENSMUSG00000002546.16	157	241	280	201	276	142	139	341	189	204	363	206
ENSMUSG00000002550.16	96	236	139	194	139	146	76	272	162	210	265	177
ENSMUSG00000002565.16	0	2	0	0	0	0	1	0	4	0	0	0
ENSMUSG00000002578.17	4	18	21	14	23	30	5	18	16	10	22	14
ENSMUSG00000002580.7	350	678	723	560	767	389	304	828	448	716	986	564
ENSMUSG00000002588.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002602.16	98	104	46	79	86	78	61	110	58	115	79	64
ENSMUSG00000002603.15	37	52	34	53	27	22	10	51	27	19	58	40
ENSMUSG00000002608.8	147	232	321	177	212	172	100	352	186	268	297	247
ENSMUSG00000002617.14	299	93	65	157	255	245	378	197	66	112	174	153
ENSMUSG00000002625.9	103	101	111	48	100	37	76	141	72	93	92	55
ENSMUSG00000002633.4	4	0	3	1	7	4	9	4	2	1	4	6
ENSMUSG00000002635.11	1394	1084	870	1186	1858	1280	1050	1707	752	1170	1354	1009
ENSMUSG00000002658.9	394	600	685	371	453	460	267	836	487	545	546	452
ENSMUSG00000002660.7	1507	1719	1548	1469	2159	1173	891	2210	1265	1825	2081	1388
ENSMUSG00000002661.14	303	415	386	378	443	210	228	655	372	379	569	285
ENSMUSG00000002664.2	5	10	2	1	9	10	3	11	9	7	8	8
ENSMUSG00000002668.7	0	1	0	1	0	0	0	2	4	3	8	0
ENSMUSG00000002679.14	715	468	422	510	729	581	634	840	354	511	619	527
ENSMUSG00000002688.8	99	87	77	90	107	109	78	175	84	85	130	93
ENSMUSG00000002699.13	10	17	3	2	11	8	14	16	12	14	18	8
ENSMUSG00000002718.14	3095	2800	2662	2035	3008	2366	2626	3141	1866	2424	2995	2122
ENSMUSG00000002728.14	1524	1074	951	1195	1986	1288	1404	1609	759	1117	1585	1102
ENSMUSG00000002731.6	743	887	814	712	1021	734	568	1286	652	923	1219	882
ENSMUSG00000002732.14	237	199	146	104	276	163	271	242	124	166	152	193
ENSMUSG00000002733.8	475	380	358	350	604	495	337	434	245	396	379	437
ENSMUSG00000002741.9	1956	2040	1397	2132	2717	2038	1642	3018	1578	2337	2962	1898
ENSMUSG00000002748.7	2105	2443	2828	2123	3366	2118	1656	2669	1918	2500	2995	2345
ENSMUSG00000002763.16	209	355	413	268	372	228	156	499	300	393	431	288
ENSMUSG00000002767.13	690	1173	1022	707	908	631	442	1316	788	1047	1383	837
ENSMUSG00000002768.7	917	1145	985	929	1290	711	712	1464	749	1065	1414	910
ENSMUSG00000002769.8	9	1	4	0	1	4	0	0	0	1	3	0
ENSMUSG00000002771.12	17	26	17	16	36	20	4	30	17	9	14	21
ENSMUSG00000002778.14	1105	1323	1424	1036	1649	1179	793	1531	1032	1171	1705	1310
ENSMUSG00000002781.19	98	160	90	122	113	93	64	141	96	134	153	138
ENSMUSG00000002791.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002797.9	72	96	77	73	74	59	53	127	52	57	98	71
ENSMUSG00000002799.6	31	64	26	28	27	31	21	32	23	34	53	54
ENSMUSG00000002803.14	173	235	257	232	254	136	83	392	190	258	284	254
ENSMUSG00000002804.4	285	270	268	246	346	246	282	405	222	349	344	241
ENSMUSG00000002808.7	354	380	325	318	409	318	259	449	289	373	501	328
ENSMUSG00000002812.4	149	312	264	141	211	136	78	364	197	208	283	233
ENSMUSG00000002814.15	39	75	95	35	61	20	27	75	34	67	81	55
ENSMUSG00000002820.6	712	1054	693	1028	1150	866	563	1581	822	1172	1410	1025
ENSMUSG00000002825.7	263	375	243	297	463	229	180	407	309	397	400	301
ENSMUSG00000002831.13	0	0	0	0	5	0	0	0	0	0	2	0
ENSMUSG00000002833.11	301	615	619	316	432	333	171	753	405	486	622	401
ENSMUSG00000002835.8	201	245	210	141	166	147	90	469	247	291	304	191
ENSMUSG00000002844.8	1238	1743	2004	1273	1485	1070	724	2469	1386	1927	2176	1437
ENSMUSG00000002845.14	105	148	98	84	106	80	69	139	101	117	161	106
ENSMUSG00000002846.9	719	913	717	781	1185	724	522	983	609	901	1034	814
ENSMUSG00000002847.6	0	5	0	1	1	0	0	1	0	0	2	0
ENSMUSG00000002870.8	2757	3535	4289	2367	3171	2495	1660	3584	2396	2487	3172	2843
ENSMUSG00000002871.14	62	55	73	54	40	58	36	72	72	66	95	41
ENSMUSG00000002881.14	380	289	238	269	443	444	318	445	162	346	334	298
ENSMUSG00000002885.14	51	52	38	38	65	30	37	48	27	43	63	62
ENSMUSG00000002897.5	40	74	72	32	63	46	26	79	88	71	68	83
ENSMUSG00000002900.16	199	171	122	121	146	140	242	194	114	202	200	169
ENSMUSG00000002908.17	39	42	17	34	66	37	5	47	20	54	24	12
ENSMUSG00000002910.11	12	24	26	16	21	13	12	35	11	25	38	35
ENSMUSG00000002930.6	3	2	7	3	20	1	10	8	2	4	19	11
ENSMUSG00000002944.15	26	21	13	18	27	31	26	39	22	9	15	14
ENSMUSG00000002948.19	199	216	218	196	259	262	191	284	225	254	342	232
ENSMUSG00000002949.15	581	717	668	526	789	510	521	914	459	564	792	522
ENSMUSG00000002957.11	1013	1278	1260	1184	1535	1097	709	1704	1000	1333	1620	1232
ENSMUSG00000002963.17	258	391	260	311	357	216	157	515	278	452	538	290
ENSMUSG00000002968.8	499	903	823	522	536	491	282	978	652	568	857	582
ENSMUSG00000002980.14	80	59	36	39	75	49	41	69	50	48	54	60
ENSMUSG00000002981.10	951	1281	1388	1010	1185	1050	677	1588	1064	1232	1384	1231
ENSMUSG00000002983.17	20	14	17	34	12	19	8	27	16	20	25	5
ENSMUSG00000002984.17	573	885	952	568	571	486	318	1177	621	779	959	677
ENSMUSG00000002985.16	1564	2349	2252	2242	2690	1624	966	2796	1577	2488	3201	2516
ENSMUSG00000002992.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002996.17	268	215	217	236	349	246	305	448	202	308	445	205
ENSMUSG00000002997.15	1577	997	910	1361	2621	1615	1499	1985	899	1555	2027	1465
ENSMUSG00000003031.14	5089	4703	5323	5471	8683	6276	4194	6385	3778	5532	6890	5683
ENSMUSG00000003032.8	10	14	13	9	5	14	19	12	5	1	21	20
ENSMUSG00000003033.15	465	972	1016	661	743	520	314	1177	729	899	1222	667
ENSMUSG00000003037.16	1705	2108	1733	1648	2466	1619	1517	2907	1480	1983	2310	1792
ENSMUSG00000003038.15	2244	2687	2588	2216	3129	2309	1967	3535	2005	2564	3408	2238
ENSMUSG00000003039.9	3599	2947	1706	3015	5386	3479	2927	4683	2091	2926	4040	2937
ENSMUSG00000003051.13	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000003053.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000003062.13	823	1599	1392	1210	1506	869	669	1858	920	1383	1637	967
ENSMUSG00000003068.16	812	1128	993	898	1101	840	584	1555	962	1064	1214	1029
ENSMUSG00000003070.6	217	377	324	270	290	276	123	392	228	318	387	234
ENSMUSG00000003072.15	3281	4364	4701	3553	4229	3179	2237	5453	3490	4146	5387	3751
ENSMUSG00000003099.11	1207	1824	1879	1132	1686	1292	673	1914	1108	1550	2132	1562
ENSMUSG00000003119.14	83	108	109	89	125	99	82	154	104	85	150	116
ENSMUSG00000003123.15	30	57	75	37	43	42	13	50	35	59	82	30
ENSMUSG00000003131.7	2973	3076	2987	2773	4113	3268	2637	4496	2312	3122	4050	2899
ENSMUSG00000003134.10	45	73	65	82	62	54	36	104	48	61	101	62
ENSMUSG00000003135.15	601	704	596	518	849	636	414	660	480	656	775	623
ENSMUSG00000003153.10	232	272	251	206	289	235	187	288	184	207	342	204
ENSMUSG00000003154.15	87	90	97	72	110	105	58	145	91	88	122	127
ENSMUSG00000003161.15	948	1292	1072	944	1323	967	815	1701	851	1117	1443	912
ENSMUSG00000003166.19	1757	1701	1757	1536	2391	1619	1302	2201	1410	1739	2051	1670
ENSMUSG00000003184.15	157	160	253	129	168	111	62	223	114	161	202	157
ENSMUSG00000003190.12	65	120	112	47	63	57	38	140	61	44	84	68
ENSMUSG00000003198.10	242	159	133	171	301	235	214	267	125	198	247	160
ENSMUSG00000003199.16	2852	3498	2851	3238	4833	2839	2187	5093	2479	3932	4854	3432
ENSMUSG00000003200.9	467	568	441	366	459	292	196	825	406	451	596	453
ENSMUSG00000003206.6	2	1	0	0	4	0	1	2	0	6	12	1
ENSMUSG00000003208.8	114	82	107	83	123	77	72	147	100	127	123	87
ENSMUSG00000003226.7	2487	1277	1176	1494	2888	2072	2786	2088	880	1575	1613	1722
ENSMUSG00000003227.4	0	0	0	0	0	0	0	0	0	4	4	0
ENSMUSG00000003228.8	50	89	70	42	76	47	56	69	36	64	110	70
ENSMUSG00000003233.11	58	183	158	92	90	86	27	230	135	133	185	106
ENSMUSG00000003234.15	622	575	585	517	594	447	409	988	426	646	779	484
ENSMUSG00000003235.12	999	1407	1136	920	1393	871	712	1771	1145	1283	1796	1166
ENSMUSG00000003269.17	757	1635	1766	1054	1288	857	578	2213	1082	1630	2240	1267
ENSMUSG00000003271.17	0	4	5	3	1	0	1	5	7	4	2	7
ENSMUSG00000003273.14	16	18	25	8	30	39	7	51	11	19	33	30
ENSMUSG00000003279.16	236	249	252	202	504	304	221	259	137	245	350	227
ENSMUSG00000003282.9	10	3	7	0	5	20	3	23	9	5	1	7
ENSMUSG00000003283.14	7	11	0	3	1	2	2	16	0	24	2	11
ENSMUSG00000003299.10	339	700	749	460	443	334	234	783	554	683	726	530
ENSMUSG00000003308.15	294	446	366	349	385	269	155	729	406	397	567	384
ENSMUSG00000003309.14	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000003316.14	517	735	982	357	443	562	205	859	567	729	721	543
ENSMUSG00000003341.9	2	6	0	2	8	2	0	9	6	3	12	8
ENSMUSG00000003344.14	441	888	699	608	580	413	242	1126	665	843	906	603
ENSMUSG00000003345.16	1844	2549	1713	1993	2625	1587	1175	3847	1866	2258	2905	1846
ENSMUSG00000003346.14	2806	3300	2979	3168	3976	2630	1942	4657	2606	3630	4615	3392
ENSMUSG00000003348.10	23	53	36	36	48	18	17	63	31	43	62	31
ENSMUSG00000003352.13	303	469	431	398	502	432	234	639	339	586	674	514
ENSMUSG00000003354.5	3	0	1	0	8	1	1	2	4	0	6	3
ENSMUSG00000003355.6	12	40	25	13	40	14	19	37	14	39	16	28
ENSMUSG00000003360.14	1381	1278	1509	1094	1855	1346	926	1847	1003	1290	1562	1422
ENSMUSG00000003363.15	129	258	253	165	168	134	78	276	178	247	264	203
ENSMUSG00000003378.9	445	514	625	532	679	508	298	853	422	567	670	610
ENSMUSG00000003379.7	1	2	0	0	9	3	2	0	1	2	2	5
ENSMUSG00000003380.11	3177	3704	3000	3669	5369	3008	2791	4751	2506	3886	4531	3549
ENSMUSG00000003382.18	260	190	163	193	393	276	195	282	91	238	278	277
ENSMUSG00000003402.14	244	523	572	218	247	285	91	561	422	383	496	458
ENSMUSG00000003410.8	1641	2146	2921	1924	2877	2236	1365	2720	1724	2137	2625	2016
ENSMUSG00000003411.10	46	52	60	45	16	34	16	43	43	47	70	24
ENSMUSG00000003418.11	8	1	1	3	0	3	5	11	8	5	12	6
ENSMUSG00000003420.8	147	165	80	155	220	111	121	212	139	193	195	207
ENSMUSG00000003421.13	736	665	656	661	968	689	636	1139	503	652	897	674
ENSMUSG00000003423.15	599	1116	1087	716	883	501	394	1399	729	995	1280	840
ENSMUSG00000003429.11	4247	9487	9244	5730	6737	3920	3052	9175	5942	7086	9898	5289
ENSMUSG00000003435.9	231	479	442	313	320	243	144	724	346	424	614	294
ENSMUSG00000003436.11	160	208	273	184	161	184	104	407	183	158	249	208
ENSMUSG00000003437.14	202	360	351	197	218	179	88	466	219	321	340	249
ENSMUSG00000003438.17	1869	3252	3139	2428	3117	1908	1314	3988	2627	3046	3933	2302
ENSMUSG00000003444.8	89	191	126	99	124	87	72	193	104	164	160	125
ENSMUSG00000003452.15	1714	1084	1097	1585	2816	2136	1690	1617	851	1556	1974	1552
ENSMUSG00000003458.12	466	763	892	437	691	422	289	942	663	651	717	636
ENSMUSG00000003464.13	1963	1795	1496	2184	3122	2140	1731	3008	1495	2113	2922	2056
ENSMUSG00000003469.9	9	9	13	16	36	30	9	22	20	47	40	10
ENSMUSG00000003476.16	1	0	0	0	5	0	0	1	0	2	0	0
ENSMUSG00000003477.5	0	0	0	0	0	0	1	0	0	0	0	4
ENSMUSG00000003484.4	1	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000003500.13	458	628	741	561	614	452	234	1054	546	602	931	521
ENSMUSG00000003505.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000003518.13	84	102	54	80	95	106	58	172	97	114	127	86
ENSMUSG00000003526.11	52	58	77	53	36	24	25	83	20	35	79	38
ENSMUSG00000003527.8	205	420	272	300	349	230	153	515	337	391	485	346
ENSMUSG00000003528.14	298	418	363	362	363	240	151	585	349	369	586	305
ENSMUSG00000003531.14	1942	2133	1939	2214	3105	2075	1328	2791	1610	2344	3069	2048
ENSMUSG00000003534.17	581	961	1055	921	796	767	259	1297	867	1062	1317	903
ENSMUSG00000003541.6	42	86	64	48	68	57	38	60	20	54	67	58
ENSMUSG00000003545.3	0	2	0	0	5	0	0	0	0	0	0	0
ENSMUSG00000003546.9	323	381	389	361	434	292	249	618	339	452	578	370
ENSMUSG00000003549.9	135	264	294	146	134	110	63	322	180	236	335	117
ENSMUSG00000003555.7	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000003559.7	92	121	124	108	118	76	106	107	50	93	170	95
ENSMUSG00000003573.15	309	434	259	363	416	334	209	489	233	397	403	313
ENSMUSG00000003575.13	230	275	223	257	338	288	139	417	190	318	485	283
ENSMUSG00000003581.14	49	115	145	116	79	79	51	159	73	125	154	103
ENSMUSG00000003585.13	7	10	10	11	22	8	8	9	12	17	14	8
ENSMUSG00000003604.14	160	253	305	149	214	133	108	348	199	251	311	217
ENSMUSG00000003617.16	76	55	28	48	56	74	79	47	46	25	43	35
ENSMUSG00000003623.4	752	509	302	565	883	639	734	846	330	566	618	629
ENSMUSG00000003644.17	47	60	62	29	29	12	24	95	64	42	70	47
ENSMUSG00000003657.9	21	32	14	22	39	13	17	43	10	34	30	30
ENSMUSG00000003660.10	2445	1907	2292	1776	2911	2459	1995	2757	1543	2167	2354	2242
ENSMUSG00000003662.10	857	1003	1062	901	1277	855	674	1385	685	1194	1298	910
ENSMUSG00000003665.6	1	5	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000003680.15	258	306	366	241	317	218	146	384	253	343	469	219
ENSMUSG00000003721.14	500	483	447	598	832	523	392	643	356	548	793	549
ENSMUSG00000003731.13	724	596	571	506	771	646	507	770	468	523	722	543
ENSMUSG00000003746.16	123	99	33	82	81	77	107	70	51	62	73	39
ENSMUSG00000003752.9	25	15	8	27	7	25	13	34	40	35	56	8
ENSMUSG00000003762.13	91	156	141	125	139	95	73	219	93	130	206	93
ENSMUSG00000003778.14	1042	784	782	696	1202	1058	884	1004	513	808	940	719
ENSMUSG00000003779.15	113	203	123	108	98	91	40	240	161	201	202	144
ENSMUSG00000003808.18	458	591	793	383	555	436	271	793	472	555	685	522
ENSMUSG00000003809.14	277	331	360	252	278	242	246	423	213	278	409	267
ENSMUSG00000003810.12	146	231	270	152	167	141	69	346	244	190	280	179
ENSMUSG00000003812.13	70	71	54	57	55	54	33	58	45	36	72	41
ENSMUSG00000003813.15	203	300	242	194	308	178	142	470	303	319	448	233
ENSMUSG00000003814.8	3086	5089	5888	3547	4658	3744	2239	5115	3515	4373	5768	4086
ENSMUSG00000003824.12	464	437	394	334	426	341	353	643	320	389	582	428
ENSMUSG00000003847.16	89	92	118	77	101	149	92	89	55	122	129	122
ENSMUSG00000003848.14	462	577	591	482	597	343	306	727	550	507	688	468
ENSMUSG00000003849.8	36	51	45	31	34	23	15	34	12	31	26	32
ENSMUSG00000003863.18	89	143	155	106	180	133	58	228	105	153	253	126
ENSMUSG00000003865.16	94	132	138	116	110	64	72	225	97	138	135	104
ENSMUSG00000003868.14	741	1311	1324	828	753	651	357	1884	1049	1219	1512	925
ENSMUSG00000003872.9	8	11	9	12	23	8	15	25	4	15	11	13
ENSMUSG00000003873.11	2044	2389	2193	2443	3388	1879	1533	3383	1706	2381	2812	2168
ENSMUSG00000003882.5	5	3	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000003923.14	1702	1263	1124	1227	2175	1603	1494	1936	948	1418	1549	1433
ENSMUSG00000003929.10	894	589	424	622	995	858	1135	791	355	656	745	595
ENSMUSG00000003934.5	167	218	132	187	269	187	142	228	147	170	314	195
ENSMUSG00000003948.17	906	815	694	755	1140	851	762	907	423	765	868	916
ENSMUSG00000003949.16	52	127	33	44	56	73	83	49	27	36	73	89
ENSMUSG00000003955.7	1858	1599	1349	1246	2067	1446	1412	2130	1057	1396	1703	1166
ENSMUSG00000003970.8	27194	36384	27788	30182	40513	23678	18883	45996	27459	33897	45080	29179
ENSMUSG00000003974.6	21	25	22	15	30	30	19	30	11	29	34	27
ENSMUSG00000003992.14	376	316	310	276	456	273	242	389	214	322	324	229
ENSMUSG00000004018.9	154	167	145	125	189	164	134	219	142	164	167	106
ENSMUSG00000004031.13	67	52	48	72	62	53	34	122	72	101	121	79
ENSMUSG00000004032.10	1504	2162	1897	1357	1976	1188	1064	2315	1403	1816	2448	1514
ENSMUSG00000004035.12	59	77	91	61	57	45	32	88	57	92	95	43
ENSMUSG00000004038.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000004040.16	155	288	326	216	287	233	146	223	171	269	297	179
ENSMUSG00000004043.14	0	1	1	4	7	3	3	0	0	3	0	0
ENSMUSG00000004044.9	280	270	83	223	239	149	187	252	141	205	215	187
ENSMUSG00000004054.8	147	218	133	121	158	100	84	325	132	168	267	168
ENSMUSG00000004056.15	1307	1331	1052	1307	1702	1250	1083	2360	1053	1552	1983	1358
ENSMUSG00000004069.16	308	506	430	301	371	261	244	513	327	401	478	447
ENSMUSG00000004070.15	160	262	192	167	223	144	105	364	180	208	334	173
ENSMUSG00000004071.12	588	721	625	453	755	604	450	865	591	684	838	598
ENSMUSG00000004085.14	111	96	80	82	153	64	124	130	81	107	62	68
ENSMUSG00000004096.9	1625	2243	1906	1536	2316	1711	1090	2334	1177	1766	2306	1694
ENSMUSG00000004098.7	2	1	5	0	3	1	0	12	0	0	6	2
ENSMUSG00000004099.16	1365	1664	1987	1063	1568	1264	827	2218	1303	1340	1698	1476
ENSMUSG00000004100.12	102	209	225	117	101	82	54	228	171	180	244	106
ENSMUSG00000004105.8	565	445	298	295	483	416	378	478	373	349	440	416
ENSMUSG00000004110.16	143	140	154	242	327	281	151	247	123	236	307	265
ENSMUSG00000004113.18	95	88	97	118	169	114	77	122	113	112	169	72
ENSMUSG00000004127.12	100	84	89	76	160	106	106	167	66	96	148	83
ENSMUSG00000004151.17	222	122	105	147	250	205	228	200	77	111	108	168
ENSMUSG00000004187.10	9	19	52	24	37	29	10	38	17	23	62	10
ENSMUSG00000004207.14	1472	2130	2350	1702	2116	1595	949	2939	2002	2316	2965	2037
ENSMUSG00000004221.16	276	316	283	351	417	273	282	589	328	367	571	332
ENSMUSG00000004231.15	0	4	6	6	2	2	0	4	0	6	8	12
ENSMUSG00000004233.14	37	57	45	49	49	28	42	69	49	61	84	42
ENSMUSG00000004263.15	48	31	70	54	52	62	27	77	57	56	44	54
ENSMUSG00000004264.17	1888	3086	2957	2086	2625	1712	1334	3983	2467	2634	3554	2062
ENSMUSG00000004266.15	18	15	0	13	12	5	6	6	12	6	19	7
ENSMUSG00000004267.16	51	76	91	71	90	76	60	83	64	66	93	77
ENSMUSG00000004268.11	2790	4108	3397	3083	4162	2581	1885	4910	2598	3663	4721	2922
ENSMUSG00000004270.13	120	87	73	80	105	86	98	171	114	89	144	111
